year,country_slug,source_pdf,words,testament,unwavering,steadfast,resonate,navigate,foster,harness,beacon,embark,landscape,transformative,crossroads,profound,robust,seamless,bolster,delve,intricate,underscore,showcase,nuanced,multifaceted,tapestry,realm,meticulous,delineate,paramount,myriad,pivotal,sovereignty,cooperation,development,security,peace,dialogue,support,people
2015,mauritius,https://gadebate.un.org/sites/default/files/gastatements/70/70_mu_en_2_24.pdf,2677,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,13,8,10,1,7,2
2015,micronesia-federated-states,https://gadebate.un.org/sites/default/files/gastatements/70/70_fm_en_2_24.pdf,1681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,8,1,4,7
2015,mongolia,https://gadebate.un.org/sites/default/files/gastatements/70/70_mn_en_25.pdf,2797,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,6,12,4,4,2
2015,montenegro,https://gadebate.un.org/sites/default/files/gastatements/70/70_me_en_2_24.pdf,1417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,6,8,3,7,2
2015,mozambique,https://gadebate.un.org/sites/default/files/gastatements/70/70_mz_en_25.pdf,2209,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,26,7,7,2,2,6
2015,myanmar,https://gadebate.un.org/sites/default/files/gastatements/70/70_mm_en_24.pdf,2102,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12,5,14,4,5,11
2015,nauru,https://gadebate.un.org/sites/default/files/gastatements/70/70_nr_en_2_24.pdf,1605,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0,2,1
2015,nepal,https://gadebate.un.org/sites/default/files/gastatements/70/70_np_en_24.pdf,2080,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,12,12,19,0,8,13
2015,netherlands,https://gadebate.un.org/sites/default/files/gastatements/70/70_nl_en_25.pdf,1825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,9,11,3,2,5
2015,new-zealand,https://gadebate.un.org/sites/default/files/gastatements/70/70_nz_en_24.pdf,1801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,11,6,0,4,4
2015,nigeria,https://gadebate.un.org/sites/default/files/gastatements/70/70_ng_en_25.pdf,1720,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,3,4,0,3,9
2015,norway,https://gadebate.un.org/sites/default/files/gastatements/70/70_no_en_25.pdf,1440,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,8,4,0,4,2
2015,pakistan,https://gadebate.un.org/sites/default/files/gastatements/70/70_pk_en_25.pdf,1760,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,13,13,5,3,6
2015,palau,https://gadebate.un.org/sites/default/files/gastatements/70/70_pw_en_24.pdf,1784,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,5,1,0,10,3
2015,papua-new-guinea,https://gadebate.un.org/sites/default/files/gastatements/70/70_pg_en_24.pdf,1608,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,12,4,0,9,5
2015,peru,https://gadebate.un.org/sites/default/files/gastatements/70/70_pe_en_24.pdf,1388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,philippines,https://gadebate.un.org/sites/default/files/gastatements/70/70_ph_en_24.pdf,2103,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,16,0,6,4
2015,poland,https://gadebate.un.org/sites/default/files/gastatements/70/70_pl_en_25.pdf,2148,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,17,0,3,4
2015,portugal,https://gadebate.un.org/sites/default/files/gastatements/70/70_portugal_en_25.pdf,1453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,6,7,2,3,4
2015,republic-korea,https://gadebate.un.org/sites/default/files/gastatements/70/70_kr_en_24.pdf,2895,1,0,0,1,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,17,15,25,2,7,8
2015,republic-north-macedonia,https://gadebate.un.org/sites/default/files/gastatements/70/70_mk_en_24.pdf,2846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,11,9,7,0,4,8
2015,romania,https://gadebate.un.org/sites/default/files/gastatements/70/70_ro_en_24.pdf,1894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,8,6,1,5,2
2015,rwanda,https://gadebate.un.org/sites/default/files/gastatements/70/70_rw_en_24.pdf,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,4
2015,saint-kitts-and-nevis,https://gadebate.un.org/sites/default/files/gastatements/70/70_kn_en_2_24.pdf,1948,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,17,2,1,0,4,7
2015,saint-vincent-and-grenadines,https://gadebate.un.org/sites/default/files/gastatements/70/70_vc_en_25.pdf,2124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,3,4,2,0,3,7
2015,samoa,https://gadebate.un.org/sites/default/files/gastatements/70/70_ws_en_24.pdf,2482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,8,4,0,0,8
2015,san-marino,https://gadebate.un.org/sites/default/files/gastatements/70/70_sm_en_24.pdf,1037,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,3,0,0,5
2015,sao-tome-and-principe,https://gadebate.un.org/sites/default/files/gastatements/70/70_st_en_24.pdf,1955,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,2,4,0,2,5
2015,seychelles,https://gadebate.un.org/sites/default/files/gastatements/70/29_sc_en_25.pdf,1534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,3,3,0,2,2
2015,sierra-leone,https://gadebate.un.org/sites/default/files/gastatements/70/70_sl_en_25.pdf,2460,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,10,0,12,6
2015,slovakia,https://gadebate.un.org/sites/default/files/gastatements/70/70_sk_en_24.pdf,1813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,10,11,15,0,2,2
2015,slovenia,https://gadebate.un.org/sites/default/files/gastatements/70/70_si_en_2_24.pdf,1465,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,10,6,1,2,2
2015,somalia,https://gadebate.un.org/sites/default/files/gastatements/70/70_so_en_24.pdf,1780,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,0,4,11
